car_make,car_model,year_release,VIN,price
Daewoo,Lanos,1999,WAUEH78E28A335254,62989
Maybach,57,2009,5UXZW0C59BL100479,77411
Acura,NSX,1999,1GYUKFEJ3AR144360,63420
Audi,Q7,2009,WBAKF9C51CE400298,14620
Chrysler,Sebring,2006,1G4GD5ER6CF993427,17304
Dodge,Ram 2500,2005,WA1LMBFE5BD074052,57362
Land Rover,LR2,2009,1GD11ZCG1DF456439,55080
Lamborghini,Countach,1990,JN1CV6FE9DM215690,43622
Jaguar,XK,2011,1GYS4CKJXFR252969,48078
Oldsmobile,Bravada,1994,1FTMF1E85AK658324,33077
Mercedes-Benz,CL-Class,2000,JN8AF5MR7BT493805,40193
Mitsubishi,Eclipse,1993,1G6AE5S35D0492611,42169
Dodge,Nitro,2011,3D73Y4HL1AG476479,56346
Lotus,Exige,2004,5N1AR2MM9EC145431,68086
Toyota,Camry,1997,WBAVD53558A202057,45640
Ford,Excursion,2001,3C63DRHL0CG668067,68618
Porsche,911,1999,1FMHK7B85CG905959,52046
Chevrolet,Corvette,1968,3GYFNBE39ES226154,64082
Chevrolet,Express 3500,1997,WBAWR33568P506070,20846
Suzuki,Daewoo Magnus,2005,WAUAC48H24K132990,36849
Dodge,D350,1993,1FTEX1EW1AF801066,20175
Isuzu,Hombre,1999,JH4NA216X4S830950,24324
Cadillac,DeVille,2004,JTEBU4BF0EK462703,27815
Honda,Fit,2010,WAUSF98K39N427395,45979
Audi,90,1991,JH4KA965X3C054050,33966
Buick,LeSabre,2004,WBAWR33597P649867,30648
Ford,Edge,2010,2C3CDZBG7FH089574,77694
Audi,S4,2000,1C3ADEBZ0DV666886,22984
Lamborghini,Murciélago,2005,3VW467ATXDM098472,69282
Plymouth,Grand Voyager,1994,5UXFE4C53AL195391,66691
Subaru,Justy,1988,1FTWX3D56AE363837,22790
Pontiac,Grand Am,2003,JH4CU4F66CC066977,49730
Lincoln,Mark VIII,1996,2D4RN5DG5BR086589,62852
Chevrolet,Cobalt,2010,WAUXF98K49A475405,35878
Suzuki,Reno,2006,1G6DF5EG2A0439238,57693
Volkswagen,rio,1997,WBANA53575B365453,17949
Saturn,Outlook,2008,1C4RDJAGXCC364569,64819
Honda,CR-V,2010,WVGAV7AX5AW039770,20772
Ford,Aerostar,1992,3D7TT2CTXAG456872,65817
Lotus,Evora,2010,WAUJC58E23A180120,76711
Pontiac,Montana SV6,2005,3VW4T7ATXDM704331,47666
Plymouth,Laser,1991,SCBGH3ZA8EC058466,79747
GMC,Savana 1500,2007,1GD022CGXCZ610627,41793
Jeep,Compass,2011,1FTSW3B53AE166550,28487
Mitsubishi,Precis,1993,SAJWA4FB3EL971346,38754
Oldsmobile,98,1993,2C4RDGEG8ER846948,65469
Ford,Aspire,1997,JN1CV6EK2BM940794,48745
Saab,9-3,2002,4T1BF1FK1EU102022,55369
Ford,Focus,2004,5J8TB3H37FL310114,35255
Chevrolet,Express 3500,1999,1G6AZ5S33F0970693,46034
Mitsubishi,Pajero,1995,WA1VMAFE6BD299325,76119
Lincoln,LS,2005,1C6RD7JTXCS923874,59344
Porsche,928,1994,JA4AS3AW3DU922743,59930
Pontiac,Grand Prix,1980,WAUTFAFH8AN936495,38821
Mercury,Milan,2010,WAUJC58E32A500074,64348
Ford,Econoline E250,1997,1GYS4CEF4ER898403,38980
Kia,Sedona,2002,WVGEF9BP2FD209949,70494
Subaru,Legacy,1993,WAUBT48H35K136679,10455
Eagle,Talon,1990,1FTSW2B51AE998110,71671
Hyundai,Genesis Coupe,2010,JHMZE2H59DS487566,50558
Toyota,Tacoma,2008,2CTALMEC6B6603071,30705
Mercedes-Benz,400E,1992,5N1AN0NU5AC181366,54228
Daewoo,Leganza,1999,WAULT64B93N391673,42313
Acura,RL,2005,JTHFF2C22F2923190,16411
Ford,Econoline E350,2001,W04GP5ECXB1308374,33600
Audi,A4,2004,WAUDF78E77A574783,16775
Volvo,V70,1998,WAUGGBFC6DN898228,30214
Ford,F-Series,2007,JTEBC3EH1D2584737,63823
Land Rover,Range Rover,2008,1FADP5CU3EL960174,41812
Dodge,Neon,1996,5J6TF2H57FL649495,36307
Chevrolet,Colorado,2008,2G4WF521131166432,69754
BMW,Z3,2001,1G4GC5EG3AF212183,30113
Audi,A8,2001,WBALL5C52FP400051,28158
Audi,100,1992,1G6DJ577X80683385,13431
Dodge,Ram Van B250,1992,WA1WMAFP7EA987930,70610
Mercedes-Benz,400E,1992,WBAEA5C52AC243118,63768
Chevrolet,Venture,1997,WVWED7AJ5BW066473,50774
Oldsmobile,Achieva,1998,3D73M4CL2BG145737,60570
Mercury,Grand Marquis,2006,WBAEA5C53AC238221,46993
Lexus,ES,1991,2T1KE4EE5DC030029,36986
Mitsubishi,Truck,1995,YV140MEA0F1478328,58875
Audi,RS 4,2008,1G6DD1E36E0995067,45800
Dodge,Neon,1996,3GYVKNEF5AG093518,69334
Mitsubishi,Pajero,1987,3VWJP7AT9CM497078,46362
Suzuki,Grand Vitara,2000,YV1902MC8F1889859,22341
Kia,Rio,2005,1FT7W2A62EE760210,58484
Lincoln,LS,2000,WBAEP33472P760645,71409
Ford,Flex,2010,JH4NA21695S788112,46567
Toyota,Tundra,2004,JTMHY7AJ0F4657510,74065
Nissan,Frontier,2002,4USBT33483L147003,27888
Buick,Regal,2004,2C3CDXEJ6DH976673,79996
Ford,Econoline E150,1995,5N1AT2MK6FC002647,33327
Pontiac,LeMans,1967,19XFB4F26FE389134,10813
Mercedes-Benz,300SE,1992,JN8AF5MR6FT822256,42184
Chevrolet,Corvette,1956,WA1GFCFS7FR805127,35659
Aston Martin,DB9,2012,WUAUUAFG5BN308063,50643
Saturn,S-Series,1993,1G6KY54983U499802,14092
Chevrolet,Equinox,2007,5N1BA0ND9FN842067,10103
Honda,Ridgeline,2006,WAUBF78E17A874925,30074
Chevrolet,Corsica,1996,1LNHL9DR5BG807840,35313
Chevrolet,Suburban,2010,1G4GE5GD9BF905922,57562
Toyota,Corolla,1999,5N1AT2ML8FC990118,15569
Audi,80,1991,WBAVB33516P941995,54340
Suzuki,Aerio,2006,JTJBJRBZ4F2217163,70728
Honda,Accord,2010,WBA6A0C52DD448881,10836
Nissan,240SX,1996,WAUSF98K99A668174,78618
Saab,9-3,2009,WP0AA2A98DS871796,62823
Chevrolet,Caprice Classic,1996,JN8AZ2ND9F9193274,13607
Ford,Crown Victoria,2005,WA1CM74L49D801920,56911
Mercedes-Benz,M-Class,2011,WAUEV94F08N449510,12728
Mazda,MX-5,2001,WA1EV74L88D920039,50993
Volkswagen,Jetta,1991,1D4PT4GK5BW358198,13207
Kia,Optima,2002,W04GT5GC7B1052655,31965
Subaru,Outback,2003,YV1952ASXE1713682,53977
Lexus,GX,2004,WDDGF5EB1AA643835,67232
Dodge,Ram 3500 Club,1996,WAUEFBFL2AN023850,79441
Toyota,Camry,2010,JHMZF1C67CS345917,44896
BMW,3 Series,2006,WBA3F9C56FK920281,43317
Honda,Civic,1994,1G6DG577X90355450,61179
Isuzu,Hombre Space,1997,1N6AA0CA2DN989494,58878
Chevrolet,Tahoe,2010,WBA4B3C51FD803905,24881
Ford,F350,2009,3N1CN7AP3EL652773,10761
Plymouth,Acclaim,1993,4T1BF1FK9FU929168,56017
Dodge,Dakota Club,2007,WVGEP9BP7FD139197,57757
Lexus,RX Hybrid,2010,1G6DK8EG3A0908026,25420
Dodge,Colt,1993,1N6AA0EJ5FN296760,35098
Mitsubishi,Pajero,1995,WAUAH94F97N289910,38330
Saturn,VUE,2009,KL4CJCSB0EB539492,42961
Volkswagen,GTI,2001,4A37L2EF2AE906876,19986
Volvo,XC90,2012,1G6DJ8ED2B0895358,49168
Mazda,B-Series Plus,1992,3VWKX7AJ6BM443951,61317
Buick,Regal,1986,3GYFNGEY3AS930997,78941
Chevrolet,Uplander,2006,WAUDT74F25N870842,36874
Dodge,D250 Club,1993,JN8AF5MR6BT256349,27217
Mazda,Tribute,2002,WBAGL634X2D803219,68814
Ford,E-Series,2011,WP0CA2A87AS199435,11286
Chevrolet,Malibu,2003,JHMZE2H53ES159500,33525
Chevrolet,Express 3500,2005,5TDDCRFH3ES844984,34393
Pontiac,Montana,2000,SCFFDABE6CG369892,38361
Volvo,V40,2004,WAUMK98K29A532893,74826
Ford,LTD,1986,YV1902FH2B2743115,61329
Alfa Romeo,Spider,1994,1G6AL5SX0E0792129,35367
Subaru,B9 Tribeca,2007,JA32U1FU6DU934142,21216
Dodge,Ram 1500,2010,2G4GV5EV6B9710784,41358
Chevrolet,Express 1500,2001,SALVP2BG5FH505901,49286
Pontiac,Firebird Trans Am,1986,3VW467AT3CM885911,12196
Buick,Riviera,1987,1G6DH8EY8B0908936,33521
Lincoln,Town Car,2008,1FTSX2B59AE016269,52695
Chevrolet,Avalanche 2500,2003,WBXPA934X4W369212,72430
Ford,Five Hundred,2005,2T1BURHE6EC071959,17700
Honda,Prelude,1984,WBAUC9C57DV378049,51936
Ford,E150,2003,2T1BURHE6FC162246,32415
Mazda,Protege5,2003,JTHFN2EY3A9461341,33008
Volvo,S90,1998,2LMDJ6JK5FB511583,51671
Lincoln,LS,2000,3VW507AT1EM422433,34048
Toyota,Previa,1996,WAUKF78E96A448155,12023
Pontiac,Grand Prix,1985,1G6AJ1RX2F0085202,74895
BMW,Z4 M,2006,1N6AA0CJ4FN678121,36661
Toyota,Tacoma,2011,2FMHK6CC6AB455272,67478
Subaru,B9 Tribeca,2006,2B3CJ5DT2AH609262,67689
Mitsubishi,Outlander,2009,1G6AE5SX0E0263144,39701
Hyundai,Tiburon,2006,1G4HP52K234366304,40376
Ford,Explorer,2002,WAUKG78E35A747877,14001
Lexus,GS,2000,1G6DC67A880144162,14203
GMC,Savana 3500,2005,1G6DP8E34C0207464,63745
Pontiac,Grand Am,1991,5UXZW0C58C0943950,26794
Lotus,Exige,2008,1G6DL8EV0A0742785,58592
Ford,E350,2007,2C4RDGEGXCR788256,19120
Nissan,Titan,2009,3FA6P0SU5FR735416,78746
Chevrolet,HHR,2009,WAUGGAFR1EA657555,41285
Mazda,RX-7,1989,WBAKF9C50BE399028,14889
Hyundai,Tucson,2006,4A31K3DT4AE878293,36499
Oldsmobile,88,1995,3N1AB7AP9FL210128,20917
Mazda,MX-5,1999,WBAEV53484K073353,67369
Dodge,Ram 2500,1995,WA1UFAFL3FA485867,52738
Lotus,Exige,2004,3C6JD6DK5CG165167,50345
Toyota,MR2,1995,1C4RDJAGXFC074580,69479
Chevrolet,2500,1993,WBAYA6C54DC875688,15394
Mercedes-Benz,SL-Class,1992,1GYS4GEF2DR319883,27067
Ford,Escort,1993,WA1YL64B25N617963,68165
Pontiac,6000,1987,JN1AZ4EH4AM293382,41637
Mercedes-Benz,CLS-Class,2009,TRUTC28N741403155,55111
Acura,MDX,2011,2T1BURHE4FC073176,28238
Dodge,Grand Caravan,2010,WBAKN9C57ED748361,12848
Nissan,200SX,1997,3C6JD7BPXCG778809,16627
Ford,Thunderbird,1965,JN1AZ4FH8FM243347,56206
Mitsubishi,Eclipse,1994,4JGDF2EE0FA663955,77454
Ford,Contour,1995,3VW507AT1FM743356,35442
Ford,Transit Connect,2013,5LMJJ3J53CE777706,58917
Pontiac,Tempest,1967,WBAVA37528N989730,75322
Maybach,Landaulet,2012,JN8AZ2KR8DT127962,57415
Bentley,Azure T,2010,WBAVA37568N638545,29997
Pontiac,GTO,2004,3D73Y3HL8AG236968,48398
BMW,760,2006,WBAPH5G51AN683379,32630
Dodge,Dakota,1999,4A31K5DF0CE269002,40041
BMW,330,2006,WAUKF98P59A107613,17352
Toyota,Prius,2003,1FTWW3B53AE166713,71879
Toyota,4Runner,1995,WDDHF5KB2FB517008,60188
GMC,Sierra 2500,2011,JM1NC2LF3F0126693,40541
Dodge,D250 Club,1992,WBSBL93453J744770,23468
Mitsubishi,Galant,2010,WAUBNAFB1AN138706,43501
Porsche,Cayenne,2012,1C4PJLAK9CW690555,52050
Ford,Mustang,1972,SALVP2BG5FH899139,61058
Cadillac,Escalade EXT,2006,3GYFK66N34G010365,67020
Chrysler,300M,2001,WAUVFAFR2DA774294,28532
BMW,8 Series,1995,JH4DC54813C017770,72104
GMC,Sierra,2007,WP0AB2A97BS144773,54465
Toyota,Tacoma Xtra,1998,5TFCY5F13BX013046,29846
Ford,Explorer,1993,1B3CB5HA9BD094443,59997
Mercedes-Benz,190E,1993,1N4AL2AP9CN696017,32724
Isuzu,Impulse,1992,5J8TB1H57CA192644,29121
Audi,TT,2008,YV426MDB3F2136269,14196
Buick,Century,1986,1FTMF1E8XAF298847,37261
Dodge,Avenger,1998,1C3BCBEB0CN326138,12737
Mitsubishi,Eclipse,2012,WAUBG78E56A092218,72874
Ford,Expedition,2009,WAUBFAFLXEN316690,64233
Porsche,Boxster,1998,1FTNS1EW3AD357005,35033
Ford,Econoline E350,1995,5NPDH4AE7BH245900,60584
Oldsmobile,Aurora,1996,WBABN534X1J530085,32051
Honda,Civic,1997,JH4KA96562C401307,65128
Cadillac,Seville,1999,WAULT54B82N521080,43989
Kia,Optima,2004,1FTEW1C84AF723096,41013
Buick,Skylark,1995,SALSF2D40CA211142,63615
Lexus,SC,1994,WA1WGAFP4EA435938,77110
Hyundai,XG350,2004,SCFEBBBK4BG788450,63732
Toyota,4Runner,2012,3C6TD5LT9CG411411,67292
Lincoln,Navigator,2007,WAU4GAFB5AN956913,25059
Pontiac,Firefly,1994,WBAKG1C50BE364794,75346
Buick,Roadmaster,1996,19XFB2F50DE282804,32534
Land Rover,Range Rover Classic,1993,JM1NC2SF6F0419067,48382
Honda,Prelude,1995,1FTSX2B5XAE525903,53101
Maserati,Quattroporte,2005,JHMZF1C67ES845711,42067
Pontiac,Trans Sport,1991,WBALL5C56DE255489,39979
Hyundai,Sonata,2011,JTDKDTB37F1585426,28512
Alfa Romeo,164,1992,WAUEH98E96A418270,31381
GMC,Safari,1995,JHMZF1D60ES473160,73528
Toyota,Tacoma Xtra,2003,WBSDE93411B154754,27102
Hummer,H2,2003,WBADS43482G851763,61273
Suzuki,Daewoo Lacetti,2007,WAUCFAFH1EN091849,54869
Dodge,Ram Van 2500,2000,KMHTC6AD1DU017831,72676
Suzuki,Esteem,1995,JN1CV6EK3AM237123,20741
Nissan,Pathfinder,2010,WBADT53492C854889,27829
Isuzu,Trooper,1995,19UYA42481A951003,28510
Buick,LeSabre,2002,WBAGL83505D176829,21870
Plymouth,Colt Vista,1993,2G4WF551421642845,20897
Porsche,Cayenne,2004,SALAB2V67FA735559,16241
Suzuki,SX4,2007,TRUSC28N311770268,49648
Chrysler,LHS,1994,1N6AD0CW5EN102538,28214
Mazda,Tribute,2009,1FTWW3DYXAE173794,34275
Lincoln,Mark LT,2007,JHMGE8G35BS816982,57405
Ford,Thunderbird,1989,JH4KA96571C729169,21137
Maybach,57,2012,5TDDK3DC8FS597308,63143
